CODIGO_ACCIDENTE,FECHA,CODIGO_CAUSA
4401425,01/01/2015,115
4401437,01/01/2015,104
4401453,01/01/2015,157
4401423,01/01/2015,112
4401430,01/01/2015,157
4401425,01/01/2015,139
4401429,01/01/2015,116
4401433,01/01/2015,121
4401438,01/01/2015,157
4401437,01/01/2015,127
4401442,01/01/2015,116
4401442,01/01/2015,411
4401443,01/01/2015,103
4401449,01/01/2015,114
4401420,01/01/2015,103
4401453,01/01/2015,139
4401447,01/01/2015,121
4401491,02/01/2015,116
4401542,02/01/2015,127
4403293,02/01/2015,121
4401419,02/01/2015,119
4401421,02/01/2015,411
4401422,02/01/2015,99
4401424,02/01/2015,202
4401426,02/01/2015,112
4401427,02/01/2015,157
4401428,02/01/2015,121
4401435,02/01/2015,103
4401432,02/01/2015,121
4401436,02/01/2015,112
4401439,02/01/2015,123
4401445,02/01/2015,112
4401448,02/01/2015,139
4401450,02/01/2015,411
4401452,02/01/2015,308
4401456,02/01/2015,306
4401455,02/01/2015,157
4401454,02/01/2015,157
4401459,02/01/2015,155
4401461,02/01/2015,157
4401463,02/01/2015,121
4401464,02/01/2015,121
4401467,02/01/2015,157
4401471,02/01/2015,134
4401473,02/01/2015,157
4401473,02/01/2015,157
4401477,02/01/2015,121
4401481,02/01/2015,121
4401484,02/01/2015,121
4401484,02/01/2015,112
4401482,02/01/2015,141
4401486,02/01/2015,157
4401485,02/01/2015,121
4401489,02/01/2015,134
4401491,02/01/2015,104
4401496,02/01/2015,103
4401494,02/01/2015,157
4401501,02/01/2015,157
4401498,02/01/2015,142
4401498,02/01/2015,142
4401505,02/01/2015,104
4401502,02/01/2015,157
4401503,02/01/2015,121
4401506,02/01/2015,112
4401509,02/01/2015,137
4401512,02/01/2015,157
4401512,02/01/2015,157
4401517,02/01/2015,104
4401533,02/01/2015,121
4401538,02/01/2015,122
4401542,02/01/2015,104
4401582,02/01/2015,121
4401671,02/01/2015,121
4401749,02/01/2015,103
4401495,02/01/2015,141
4401483,03/01/2015,116
4401553,03/01/2015,406
4401557,03/01/2015,115
4401511,03/01/2015,157
4401515,03/01/2015,306
4401515,03/01/2015,116
4401431,03/01/2015,157
4401434,03/01/2015,141
4401434,03/01/2015,121
4401440,03/01/2015,157
4401457,03/01/2015,409
4401460,03/01/2015,157
4401466,03/01/2015,121
4401469,03/01/2015,134
4401474,03/01/2015,157
4401475,03/01/2015,121
4401479,03/01/2015,121
4401483,03/01/2015,121
4401488,03/01/2015,112
4401492,03/01/2015,104
4401499,03/01/2015,134
4401499,03/01/2015,157
4401504,03/01/2015,409
4401507,03/01/2015,121
4401514,03/01/2015,121
4401510,03/01/2015,121
4401510,03/01/2015,121
4401513,03/01/2015,139
4401516,03/01/2015,409
4401518,03/01/2015,404
4401521,03/01/2015,157
4401522,03/01/2015,103
4401525,03/01/2015,121
4401524,03/01/2015,157
4401524,03/01/2015,157
4401528,03/01/2015,134
4401530,03/01/2015,157
4401530,03/01/2015,112
4401536,03/01/2015,121
4401537,03/01/2015,121
4401541,03/01/2015,104
4401547,03/01/2015,112
4401549,03/01/2015,409
4401553,03/01/2015,409
4401557,03/01/2015,112
4401562,03/01/2015,121
4401587,03/01/2015,112
4401593,03/01/2015,121
4401773,03/01/2015,121
4401787,03/01/2015,121
4401470,04/01/2015,98
4401554,04/01/2015,122
4401532,04/01/2015,157
4401441,04/01/2015,121
4401441,04/01/2015,98
4401446,04/01/2015,157
4401444,04/01/2015,112
4401444,04/01/2015,157
4401451,04/01/2015,411
4401451,04/01/2015,157
4401458,04/01/2015,157
4401458,04/01/2015,157
4401462,04/01/2015,157
4401465,04/01/2015,103
4401468,04/01/2015,157
