CODIGO_ACCIDENTE,FECHA,HORA,GRAVEDAD,CLASE,CHOQUE,OBJETO_FIJO,DIRECCION,CODIGO_LOCALIDAD,DISENO_LUGAR
4401489,02/01/2015,13:10:00,3,1,4.0,10.0,KR 58D-CL 145 51,11,10
4401495,02/01/2015,17:15:00,2,1,4.0,10.0,CL 41-KR 11 SE 94,4,1
4401467,02/01/2015,17:30:00,3,1,4.0,6.0,CL 170-KR 55A 57,11,1
4401424,02/01/2015,19:00:00,2,1,4.0,1.0,KR 3-CL 87 89,2,1
4401486,02/01/2015,19:00:00,3,1,4.0,1.0,CL 139-KR 104 15,11,10
4401446,04/01/2015,09:15:00,2,1,4.0,1.0,AK 68-CL 17 02,16,1
4401559,04/01/2015,09:40:00,3,1,4.0,2.0,AV AVENIDA SUBA-CL 94D 60,11,1
4401561,05/01/2015,01:45:00,3,1,4.0,2.0,AV AVENIDA CIUDAD DE CALI-CL 7B S 25,8,1
4401627,05/01/2015,13:00:00,3,1,4.0,4.0,AK 68-CL 90 88,12,1
4404036,05/01/2015,16:30:00,3,1,4.0,2.0,CL 68-KR 18U S 02,19,1
4401715,06/01/2015,16:30:00,3,1,4.0,2.0,CL 1B-KR 50 16,16,1
4401792,08/01/2015,06:45:00,3,1,4.0,10.0,CL 19-KR 79 02,9,10
4401809,08/01/2015,10:30:00,3,1,4.0,3.0,CL 12D-KR 1 26,17,1
4401800,08/01/2015,16:20:00,3,1,4.0,10.0,CL 60A-KR 75I S 22,19,1
4401765,09/01/2015,01:10:00,3,1,4.0,6.0,KR 86-CL 162 57,1,1
4401768,09/01/2015,03:00:00,2,1,4.0,1.0,KR 80-CL 49A S 21,8,1
4401834,09/01/2015,09:00:00,3,1,4.0,2.0,KR 20B-CL 72A 33,12,1
4401913,09/01/2015,18:00:00,3,1,4.0,10.0,CL 13-KR 133 35,9,10
4401915,10/01/2015,10:30:00,1,1,4.0,2.0,CL 32B-KR 8F SE 07,4,1
4401876,10/01/2015,11:00:00,3,1,4.0,2.0,CL 73-KR 142 S 02,5,5
4401934,10/01/2015,11:00:00,3,1,4.0,6.0,CL 1-KR 8 02,3,1
4401931,10/01/2015,12:00:00,3,1,4.0,10.0,CL 42B-KR 52B S 16,16,1
4401878,10/01/2015,21:40:00,3,1,4.0,6.0,KR 29C-CL 14 S 52,15,1
4401887,10/01/2015,23:40:00,3,1,4.0,3.0,KR 4A-CL 26C 49,3,1
4401967,11/01/2015,16:30:00,3,1,4.0,10.0,KR 67A-CL 95 63,12,10
4401897,12/01/2015,12:40:00,3,1,4.0,6.0,CL 49BIS-KR 5D S 47,18,1
4402048,13/01/2015,09:00:00,3,1,4.0,10.0,KR 3-CL 49 02,2,10
4402058,13/01/2015,09:10:00,3,1,4.0,6.0,CL 90-KR 91 02,10,1
4402076,13/01/2015,13:30:00,3,1,4.0,10.0,KR 80J-CL 70F 19,7,1
4402075,13/01/2015,22:30:00,1,1,4.0,3.0,KR 19-CL 39B 34,13,1
4402174,14/01/2015,18:20:00,3,1,4.0,3.0,AV AVENIDA CIUDAD DE CALI-CL 22F 02,10,1
4402231,14/01/2015,19:30:00,3,1,4.0,6.0,KR 13-CL 44 ES 02,4,1
4402158,14/01/2015,20:30:00,3,1,4.0,6.0,CL 63-KR 1 69,2,1
4402151,14/01/2015,22:30:00,3,1,4.0,1.0,KR 4-CL 65 02,2,1
4402170,15/01/2015,13:05:00,3,1,4.0,2.0,CL 16-KR 29C S 02,16,1
4402420,16/01/2015,09:00:00,3,1,4.0,10.0,KR 3-CL 20 75,3,1
4402565,16/01/2015,12:30:00,2,1,4.0,10.0,KR 12D-CL 27 S 46,4,1
4402369,16/01/2015,13:30:00,3,1,4.0,2.0,CL 146F-KR 76 02,11,1
4402406,16/01/2015,16:20:00,2,1,4.0,1.0,CL 50-KR 5N S 02,18,1
4402462,17/01/2015,08:00:00,3,1,4.0,8.0,AK 68-CL 20 02,16,5
4402408,17/01/2015,15:20:00,2,1,4.0,2.0,DG 72C-TR 28 S 02,19,1
4402401,17/01/2015,15:30:00,3,1,4.0,6.0,KR 103B-CL 63B 06,10,1
4402568,17/01/2015,16:00:00,3,1,4.0,2.0,CL 73BIS-KR 4 S 02,5,1
4402532,17/01/2015,19:30:00,3,1,4.0,10.0,CL 67B-KR 62 S 34,19,1
4402388,18/01/2015,03:40:00,2,1,4.0,10.0,TR 50-CL 69D S 04,19,1
4402482,18/01/2015,07:30:00,3,1,4.0,2.0,CL 69-KR 175 10,19,1
