CODIGO_ACCIDENTE,FECHA,VEHICULO,CLASE,SERVICIO,MODALIDAD,ENFUGA
4401423,01/01/2015,4401423-1,1.0,2.0,5.0,N
4401420,01/01/2015,4401420-1,1.0,2.0,5.0,N
4401429,01/01/2015,4401429-1,7.0,2.0,4.0,N
4401425,01/01/2015,4401425-1,1.0,2.0,5.0,N
4401433,01/01/2015,4401433-1,2.0,2.0,4.0,N
4401438,01/01/2015,4401438-1,1.0,2.0,5.0,N
4401443,01/01/2015,4401443-2,5.0,2.0,11.0,N
4401447,01/01/2015,4401447-1,1.0,2.0,5.0,N
4401447,01/01/2015,4401447-2,1.0,2.0,5.0,N
4401453,01/01/2015,4401453-1,2.0,2.0,4.0,N
4401453,01/01/2015,4401453-2,1.0,2.0,5.0,N
4401749,02/01/2015,4401749-1,5.0,2.0,7.0,N
4401419,02/01/2015,4401419-1,2.0,2.0,10.0,N
4401422,02/01/2015,4401422-1,1.0,2.0,5.0,N
4401427,02/01/2015,4401427-1,2.0,2.0,10.0,N
4401428,02/01/2015,4401428-1,1.0,2.0,5.0,N
4401428,02/01/2015,4401428-2,5.0,2.0,11.0,N
4401435,02/01/2015,4401435-1,2.0,2.0,10.0,N
4401436,02/01/2015,4401436-1,2.0,2.0,10.0,N
4401436,02/01/2015,4401436-2,4.0,2.0,11.0,N
4401439,02/01/2015,4401439-2,1.0,2.0,5.0,N
4401445,02/01/2015,4401445-1,1.0,2.0,5.0,N
4401452,02/01/2015,4401452-1,2.0,2.0,10.0,N
4401454,02/01/2015,4401454-1,2.0,2.0,10.0,N
4401455,02/01/2015,4401455-1,2.0,2.0,10.0,N
4401459,02/01/2015,4401459-1,7.0,2.0,4.0,N
4401463,02/01/2015,4401463-1,1.0,2.0,5.0,N
4401463,02/01/2015,4401463-3,1.0,2.0,5.0,N
4401471,02/01/2015,4401471-1,5.0,2.0,11.0,N
4401473,02/01/2015,4401473-1,1.0,2.0,5.0,N
4401481,02/01/2015,4401481-1,1.0,2.0,5.0,N
4401481,02/01/2015,4401481-2,9.0,2.0,11.0,N
4401484,02/01/2015,4401484-3,2.0,2.0,4.0,N
4401482,02/01/2015,4401482-2,7.0,2.0,4.0,N
4401485,02/01/2015,4401485-1,7.0,2.0,4.0,N
4401489,02/01/2015,4401489-1,4.0,2.0,11.0,N
4401491,02/01/2015,4401491-2,1.0,2.0,5.0,N
4401495,02/01/2015,4401495-1,5.0,2.0,7.0,N
4401496,02/01/2015,4401496-1,1.0,2.0,5.0,N
4401494,02/01/2015,4401494-1,1.0,2.0,5.0,N
4401494,02/01/2015,4401494-2,2.0,2.0,10.0,N
4401501,02/01/2015,4401501-1,1.0,2.0,5.0,N
4401498,02/01/2015,4401498-1,2.0,2.0,10.0,N
4401505,02/01/2015,4401505-2,7.0,2.0,4.0,N
4401502,02/01/2015,4401502-1,2.0,2.0,4.0,N
4401503,02/01/2015,4401503-1,4.0,2.0,11.0,N
4401506,02/01/2015,4401506-2,1.0,2.0,5.0,N
4401509,02/01/2015,4401509-2,1.0,2.0,5.0,N
4401512,02/01/2015,4401512-1,2.0,2.0,4.0,N
4401533,02/01/2015,4401533-2,4.0,2.0,11.0,N
4401538,02/01/2015,4401538-1,4.0,2.0,11.0,N
4401538,02/01/2015,4401538-2,2.0,2.0,10.0,N
4401542,02/01/2015,4401542-1,3.0,2.0,4.0,N
4401542,02/01/2015,4401542-2,7.0,2.0,4.0,N
4401671,02/01/2015,4401671-3,1.0,2.0,5.0,N
4401671,02/01/2015,4401671-4,8.0,2.0,11.0,N
4401773,03/01/2015,4401773-1,4.0,2.0,11.0,N
4401787,03/01/2015,4401787-1,1.0,2.0,5.0,N
4401457,03/01/2015,4401457-1,2.0,2.0,10.0,N
4401460,03/01/2015,4401460-1,2.0,2.0,10.0,N
4401469,03/01/2015,4401469-2,2.0,2.0,4.0,N
4401474,03/01/2015,4401474-1,2.0,2.0,10.0,N
4401475,03/01/2015,4401475-2,1.0,2.0,5.0,N
4401479,03/01/2015,4401479-2,8.0,2.0,11.0,N
4401483,03/01/2015,4401483-1,5.0,2.0,1.0,N
4401488,03/01/2015,4401488-1,5.0,2.0,11.0,N
4401488,03/01/2015,4401488-2,1.0,2.0,5.0,N
4401492,03/01/2015,4401492-1,2.0,2.0,10.0,N
4401499,03/01/2015,4401499-2,1.0,2.0,5.0,N
4401514,03/01/2015,4401514-1,1.0,2.0,5.0,N
4401514,03/01/2015,4401514-2,3.0,2.0,4.0,N
4401513,03/01/2015,4401513-1,2.0,2.0,10.0,N
4401518,03/01/2015,4401518-1,1.0,2.0,5.0,N
4401521,03/01/2015,4401521-1,3.0,2.0,4.0,N
4401525,03/01/2015,4401525-2,2.0,2.0,10.0,N
4401524,03/01/2015,4401524-1,2.0,2.0,10.0,N
4401524,03/01/2015,4401524-2,5.0,2.0,8.0,N
4401528,03/01/2015,4401528-2,1.0,2.0,5.0,N
